playerA_hand,playerA_ht,playerA_ioc,playerB_hand,playerB_ht,playerB_ioc,playerA_total_aces,playerA_total_df,playerB_total_aces,playerB_total_df,playerA_is_head,playerB_is_head,ranking_diff,age_diff
R,183,GER,R,190,CZE,53,28,20,13,false,false,40,6
R,190,RUS,R,185,FRA,93,80,32,10,false,false,32,2
L,193,GBR,R,190,BEL,90,49,8,6,false,false,267,1
R,183,SVK,R,183,SWE,131,57,36,19,false,false,46,5
R,185,GBR,R,178,FRA,52,38,46,24,false,false,24,2
L,188,FRA,L,183,NED,53,27,42,31,false,false,49,3
R,188,SWE,R,196,NED,59,28,35,8,false,false,105,2
R,188,FRA,R,175,FRA,87,58,40,12,false,false,4,9
R,183,GER,R,190,CZE,59,32,33,21,false,false,36,2
R,190,RUS,L,193,GBR,101,84,104,56,true,false,11,1
R,185,GBR,R,183,SVK,63,42,136,59,false,false,12,3
L,188,FRA,R,188,SWE,59,29,68,29,false,false,44,3
R,188,FRA,R,183,GER,96,61,72,40,false,false,11,8
R,185,GBR,R,190,RUS,77,47,105,89,false,false,9,0
R,188,FRA,L,188,FRA,109,62,66,30,false,false,34,4
R,188,FRA,R,185,GBR,109,62,77,47,false,false,4,5
R,190,BRA,R,183,USA,24,6,8,10,false,false,156,2
R,180,ARM,R,183,SVK,30,15,138,67,false,false,50,5
R,183,SWE,R,?,HKG,39,19,0,4,false,false,1189,3
R,185,AUS,R,188,DEN,53,15,0,1,false,false,210,8
R,196,AUS,R,175,ZIM,104,46,47,16,false,false,17,7
R,188,USA,R,180,ITA,60,45,6,5,false,false,219,3
R,188,ESP,L,180,USA,11,1,38,38,false,false,16,2
L,175,CHI,R,185,GER,49,29,27,26,false,false,44,3
R,188,ECU,R,180,KOR,66,28,27,20,false,false,90,0
R,180,USA,R,175,USA,9,9,6,3,false,false,145,4
R,185,AUS,R,180,BLR,57,19,22,16,false,false,13,8
R,183,GER,R,183,SUI,77,44,8,8,false,false,82,2
R,175,USA,R,180,AUS,56,17,48,35,false,true,27,4
R,193,NED,R,183,CHI,78,50,60,29,false,false,19,4
R,183,ARG,L,175,MAR,64,34,50,32,false,false,12,4
R,185,GBR,R,185,ISR,83,54,13,12,false,false,55,4
R,190,BRA,R,180,ARM,28,7,34,17,false,false,80,3
R,185,AUS,R,183,SWE,59,21,43,25,false,false,38,1
R,196,AUS,R,188,USA,125,48,68,50,true,false,54,4
R,188,ESP,L,175,CHI,12,4,54,36,false,false,80,5
R,188,ECU,R,180,USA,71,29,17,14,false,false,139,2
R,183,GER,R,185,AUS,79,46,59,24,false,false,63,7
R,175,USA,R,193,NED,59,17,78,52,false,false,30,4
R,185,GBR,R,183,ARG,85,55,64,40,false,true,43,4
R,185,AUS,R,190,BRA,67,22,39,10,false,false,15,3
R,196,AUS,R,188,ESP,138,50,14,5,false,false,82,6
R,183,GER,R,188,ECU,87,49,75,31,false,false,3,1
R,185,GBR,R,175,USA,94,62,61,18,false,false,14,2
R,196,AUS,R,185,AUS,152,53,72,26,false,false,3,4
R,183,GER,R,185,GBR,93,50,99,68,false,false,3,3
R,183,GER,R,196,AUS,105,56,169,58,false,false,2,0
R,193,MAR,R,188,ESP,34,11,20,22,false,false,64,2
R,180,ITA,R,185,BUL,26,15,42,20,false,false,13,1
R,185,FRA,R,173,ESP,0,2,0,2,false,false,154,0
L,180,ARG,R,188,GER,14,5,35,15,false,false,46,1
R,175,FRA,L,180,ITA,41,12,33,14,false,false,42,13
R,180,BEL,R,201,GER,0,0,36,39,false,false,120,1
R,188,ARG,R,175,ESP,25,20,11,14,false,false,3,7
